Aboard,Total Death,Date,Fatalities,Flight #,Ground,Location - Split 1,Location - Split 2,Location - Split 3,Location,Number of Records,Operator,Registration,Route,Summary,Time,Type,cn/In
24,22,08-11-1963,22,217,0,Mariehamn,Aaland Island,Finland,"Mariehamn, Aaland Island, Finland",1,Finnair,OH-LCA,Turku - Mariehamn,The aircraft flew below the safe flying altitude and hit trees on the approach line in fog. Wrong indication of the pilot's altimeter during the instrument approach. Landing carried out in below minimum conditions.,30-12-1899 17:59:00,Douglas DC-3,9799
118,118,29-11-1963,118,831,0,Ste. Therese de Blainville,Canada,,"Ste. Therese de Blainville, Canada",1,Trans Canada Air Lines,CF-TJN,Montreal - Toronto,The aircraft crashed about 5 minutes after leaving Dorval Airport in Montreal. Icing of the pitot system or failure of the vertical gyro or an unprogrammed and unnoticed extension of the Pitch Trim Compensator.,30-12-1899 18:33:00,McDonnell Douglas DC-8F-54F,45654/179
3,3,07-12-1963,3,,0,Near Nederland,Colorado,,"Near Nederland, Colorado",1,Zantop Air Transport,N609,Lowery AFB - Ogden Hill AFB,"The cargo plane impacted a vertical rock face at 12,500 ft. Pilot in command executed improper in-flight decisions and planning and exercised poor judgment.",30-12-1899 19:19:00,Curtis C-46A-20-CU,26571
81,81,08-12-1963,81,214,0,Elkton,Maryland,,"Elkton, Maryland",1,Pan American World Airways,N709PA,Washington - Baltimore - Philadelphia,"The airliner was on a flight from Baltimore to Philadelphia. The aircraft was in a holding pattern along with 5 other planes when the control tower received a Mayday message. The plane was seen going down in flames and crashed 10 miles southwest of New Castle, Delaware. The aircraft was struck by lightning.  Lightning induced ignition of fuel tank vapors. Within two weeks after the accident, the FAA ordered lightning discharge wicks to be installed on all commercial jet airliners. The aircraft was named Clipper Tradewind.",30-12-1899 20:59:00,Boeing B-707-121,17588/3
3,3,12-12-1963,3,,0,Gazni,Afghanistan,,"Gazni, Afghanistan",1,Trans Mediterranean Airways,OD-AEB,Kawait - Kabul,"The cargo plane struck a mountain while en route. A wrong estimation of the wind speed and direction resulted in a navigation error which brought the aircraft 42 nm from the approved air route. Possible contributing factors were: lack of weather forecast prior to takeoff, personal worries, fatigue and lack of oxygen, inadequate charts and maps.",30-12-1899 10:15:00,Douglas C-54A,10424
6,6,15-12-1963,6,,0,Cairo,Egypt,,"Cairo, Egypt",1,Misrair,SU-AFK,Cairo - Luxor,Crashed shortly after taking off.,,Vickers 634 Viking 1B,213
46,0,17-12-1963,0,,0,Los Angeles,California,,"Los Angeles, California",1,Western Airlines,N93131,,The  No 1. and No2. Engine propellers touched the runway after an attempted go-around during landing.  A safe landing was made at Lockheed Air Terminal in Burbank.  Failure of the pilot to maintain a positive rate of climb and the premature retraction of the landing gear during a go-around in the fog.,30-12-1899 23:41:00,Douglas DC-6B,45536
30,28,09-01-1964,28,,0,Zarate,Argentina,,"Zarate, Argentina",1,Aerolineas Litoral Argentina,LV-FYJ,Rosario - Buenos Aires,"The pilot reported a localized fire in the cabin. Soon after, he attempted to land at an airfield close to Zarate.  The aircraft struck the ground with its landing gear, left engine and wing which resulted in a break-up of the plane and subsequent fire. Crew was possibly overcome by fumes from the fire.",30-12-1899 09:50:00,Douglas DC-3,14713/26158
2,2,22-01-1964,2,,0,Prescott,Arizona,,"Prescott, Arizona",1,Commercial Air Taxi,N2136P,,Crashed to the ground during final approach in snow showers. Improper IFR operation. Weather below minimums. Weather considerably worse than forecast.,30-12-1899 23:00:00,Piper PA-23,
3,3,03-02-1964,3,,0,Near Ankara,Turkey,,"Near Ankara, Turkey",1,Turkish Airlines (THY),TC-ETI,Istanbul - Ankara,The cargo plane crashed short of the runway while on approach. Improper IFR procedure. Descended below MDA.,,Douglas C-47A,12319
10,10,03-02-1964,10,,0,Gainsville,Florida,,"Gainsville, Florida",1,South Central Airlines,N2999,Gainsville - Jacksonville,"The aircraft made a steep climb to 200 ft., stalled and crashed striking the departure end of Runway 6. Pilot's failure to properly load the aircraft, resulting  in insufficient elevator effectiveness to reverse an unwanted pitching motion.",30-12-1899 08:00:00,Beech D18S,A-811
29,2,04-02-1964,2,,0,Yacuiba,Bolivia,,"Yacuiba, Bolivia",1,Lloyd Aéreo Boliviano,CP- 568,,The aircraft crashed shortly after taking off.,,Douglas DC-3,19024
4,4,08-02-1964,4,,0,Freeport,Bahamas,,"Freeport, Bahamas",1,Private air taxi,N2157P,"Freeport, Grand Bahamas - West Palm Beach, FL",Disappeared while en route. Probable cause undetermined.,,Piper PA-23,
4,4,15-02-1964,4,,0,Detroit,Michigan,,"Detroit, Michigan",1,Commercial Air Taxi,N3823C,Detroit - Akron,Disapperared en route. Missing aircraft not recovered. Probable cause undetermined,,Piper Aero Commander 560E,
13,13,18-02-1964,13,,0,Banihal Pass,India,,"Banihal Pass, India",1,Military - Indian Air Force,,,Crashed en route.,30-12-1899 15:40:00,Ilyushin IL-14,
32,31,21-02-1964,31,946,0,Marawi,Philippines,,"Marawi, Philippines",1,Philippine Air Lines,PI-C97,Cotabato - Malabang - Iligan - Cayagan de Oro,Struck trees on a mountain ridge and crashed while attempting to land. Continued flight under VFR into IFR conditions.,30-12-1899 16:00:00,Douglas DC-3,14944/2638
22,22,22-02-1964,22,,0,Barrackpore,India,,"Barrackpore, India",1,Military - Indian Air Force,,,Exploded in the air after takeoff.,,Fairchild C-119,
2,2,22-02-1964,2,,0,Near Forsyth,Montana,,"Near Forsyth, Montana",1,Commercial Air Taxi,N1800D,,Airframe failure in flight due to overloading. Pilot continued VFR flight into adverse weather conditions.,30-12-1899 04:50:00,Beechcraft C35,
58,58,25-02-1964,58,304,0,Lake Pontchartrain,New Orleans,Louisiana,"Lake Pontchartrain, New Orleans, Louisiana",1,Eastern Air Lines,N8607,Mexico City - New Orleans - New York City,"The aircraft crashed into Lake Pontchartrain, 19 miles northeast of New Orleans International Airport, shortly after taking off. Mechanical failure. Uncommanded extension of the pitch trim compensator. Degradation of aircraft stability characteristics in turbulence, because of abnormal longitudinal trim component positions.  Malfunctioning pitch trim compensator.",30-12-1899 02:06:00,McDonnell Douglas DC-8-21,45428/61
42,20,27-02-1964,20,902,0,Oita,Japan,,"Oita, Japan",1,Fuji Airlines,JA5098,Kagoshima - Oita,"Ran past end of runway when landing and ran into a lumber pile. Malfunctioning propeller reverser, excessive speed and insufficient  braking.",30-12-1899 06:15:00,Convair CV-240-0,053
83,83,29-02-1964,83,802,0,Near Innsbruck,Austria,,"Near Innsbruck, Austria",1,British Eagle International Airlines,G-AOVO,London - Innsbruck,"The aircraft crashed into Mt. Glungezer and then slid down a gorge, 10 miles ESE of the airport while in a holding pattern. The pilot descended below the minimum safe altitude in an apparent attempt to penetrate the overcast flying VFR in IFR conditions.",30-12-1899 14:14:00,Bristol Britannia 312,13423
85,85,01-03-1964,85,,0,Near Zephyr Cove,Nevada,,"Near Zephyr Cove, Nevada",1,Paradise Airlines,N86504,"San Jose, CA - Lake Tahoe",The aircraft crashed into Genoa Peak while attempting to land under VFR conditions after a missed approach and go-around. The captain's decision not to wait until the weather improved or divert to an alternate airport during adverse weather conditions. The pilot's deviation from prescribed VFR flight procedures in attempting a visual landing approach in adverse weather conditions. This resulted in an abandoned approach and geographical disorientation while flying below the minimum altitude prescribed or operations in mountainous areas. The aircraft was named City of Los Angeles.,30-12-1899 11:29:00,Lockheed 049 Constellation,2025
28,28,08-03-1964,28,,0,Bogota,Colombia,,"Bogota, Colombia",1,Taxi Aereo de Santander,HK-862,Pereira - Bogota,Crashed during final approach. Evasive maneuver to avoid a mid-air collision with another aircraft caused the pilot to lose control of the aircraft.,30-12-1899 18:45:00,Douglas DC-3,12374
30,1,08-03-1964,1,,0,Near Chicago Illinois,,,Near Chicago Illinois,1,Snow Valley Ski Lines,N410D,,Crashed after executing a missed apporach. Improper operation of powerplant and powerplant controls.,30-12-1899 23:56:00,Douglas DC-3,4970
3,3,10-03-1964,3,12,0,Boston,Massachutes,,"Boston, Massachutes",1,Slick Airways - Cargo,N384,New York - Winsor Locks - Boston,"While on approach, the cargo plane suddenly pitched down and crashed short of the runway. Loss of balancing forces on the horizontal surface of the empennage of the aircraft, due to ice accretion, causing the aircraft to pitch nose down at an altitude too low to effect recovery.",30-12-1899 08:22:00,Douglas DC-4,18379
5,5,12-03-1964,5,32,0,Miles City,Montana,,"Miles City, Montana",1,Frontier Airlines,N61442,Billings - Miles City - Glendive - Sidney,"Struck a ridge while approaching Miles City in sleet and freezing rain while on a VOR instrument approach. The descent below obstructing terrain, for reasons undetermined, during an instrument approach in adverse weather conditions.",30-12-1899 20:50:00,Douglas DC-3C,9642
3,3,20-03-1964,3,,0,Near Danbury,North Carolina,,"Near Danbury, North Carolina",1,Commercial Air Taxi,N4320P,,The aircraft suffered engine failure in flight and crashed. Carburetor icing. Improper emergency procedures. Alcohol impairment.,30-12-1899 07:20:00,Piper PA-23,
45,45,28-03-1964,45,45,0,Mt. Vesuvius,Italy,,"Mt. Vesuvius, Italy",1,Alitalia,I-LAKE,Rome - Napoli,The plane crashed during  final approach. Failure to discontinue visual approach in the absence of minimum visibility conditions required for the type of maneuvers involved. Abnormally wide initiation of down wind leg which brought the aircraft along an unsafe path in relation to the terrain in the area.,30-12-1899 22:39:00,Vickers Viscount 785D,328
9,9,28-03-1964,9,,0,North PacifiOcean,,,North PacifiOcean,1,Private - Facilities Management Co.,N4726V,Honolulu - San Francisco,"Disappeared while en route, 1,120 nm W of San Francisco, after the pilot reported in had a bad fire in the No. 2 engine.",30-12-1899 06:00:00,Douglas C-54A-10-DC,10315
15,15,12-04-1964,15,,0,Hargeisa,Somalia,,"Hargeisa, Somalia",1,Aden Airways,VR-AAM,,,,Douglas DC-3,15530/26975
49,49,17-04-1964,49,444,0,Dahran,Saudi Arabia,,"Dahran, Saudi Arabia",1,Middle East Airlines,OD-AEM,,"Crashed into the sea, 4 nm off shore while on approach to Dhahran Airport.",30-12-1899 19:32:00,Sud Aviation Caravelle 3,023/21
2,2,17-04-1964,2,,0,Elim,Alaska,,"Elim, Alaska",1,Wein Alaska Airlines Inc.,N9984X,,Flew into whiteout conditions and crashed.  ATC did not advise of unsafe weather conditions.,30-12-1899 15:14:00,Cessna 185,
44,44,07-05-1964,44,773,0,San Ramon,California,,"San Ramon, California",1,PacifiAir Lines,N2770R,Stockton - San Fransisco,"The aircraft went into a steep dive and crashed 26 miles from it destinatiion of San Francisco Internatiional Airport. The last message which had to be obtained through laboratory analysis was 'Skipper's shot.  We've been shot.  I was trying to help.'  Francisco Gonzales, a passenger, who had told several people he was going to kill himself, shot both the pilot and co-pilot. Gonzales, 27, a former member of the Philippine yachting team at the 1960 Olympics, had purchased life insurance policies totaling $105,000 prior to the flight.",30-12-1899 06:49:00,Fairchild F-27A,0036
10,10,08-05-1964,10,,0,Cerro El Gaital,Panama,,"Cerro El Gaital, Panama",1,Military - Argentine Air Force,TC-46,,,,Douglas C-54,
49,46,08-05-1964,46,,0,Near Lima,Peru,,"Near Lima, Peru",1,Fuerza Aérea Argentina,T-47,Buenos Aires - Lima,Crashed into a sand dune while attempting to land at Lima in heavy fog. Improper IFR procedures by the crew,30-12-1899 20:20:00,Douglas C-54,
84,79,11-05-1964,79,,0,Papanga,Philippines,,"Papanga, Philippines",1,Military - U.S. Air Force,62-0332,,"While attempting to land at Clark Air Force Base, the aircraft contacted the perimeter fence, 3,500 ft. from the threshold of the runway, causing the plane to clip the tower and crash 300 ft. left of the runway center line.",30-12-1899 19:20:00,Boeing C-135B,
11,11,20-05-1964,11,,0,Sibuco Point,Philippines,,"Sibuco Point ,Philippines",1,Philippine Air Lines,PI-C51,Siocon - Zamboanga,,30-12-1899 10:00:00,de Havilland Canada DHC-3 Otter,68
3,3,27-05-1964,3,,0,,,,,1,VASP,PP-SPZ,Training,,,Douglas C-47-DL,4649
3,3,04-06-1964,3,,0,Mason,Texas,,"Mason, Texas",1,Commercial Air Taxi,N5420P,,Continued VFR flight into IFR conditions. Pilot error. Exercised poor judgement.,30-12-1899 21:00:00,Piper PA-24,
2,2,13-06-1964,2,,0,,,,,1,Saudi Arabian Airlines,HZ-AAN,Training,Crashed into the Red Sea.,,Douglas C-47A,12899
5,2,19-06-1964,2,,0,Southhampton,Massachusetts,,"Southhampton, Massachusetts",1,Private - Air Taxi,N344S,"Washington D.C. - Southhampton, MA",The plane undershot the runway and crashed while attempting to land IFR at Barnes Airport in low ceiling and fog. Improper IFR operation. Senator Edward 'Ted' Kennedy critically injured. Kennedy's aid Edward Moss and the pilot killed.,30-12-1899 22:00:00,Aero Commander 680,
57,57,20-06-1964,57,,0,Taichung,Taiwan,,"Taichung, Taiwan",1,Civil Air Transport,B-908,Taichung - Tainan,The plane crashed on takeoff into a rice paddy at San Chiao Village north northeast of the airport. The pilot discovered the left engine was overspeeding and made an abrupt left turn to land at Kung-Kuan Military Air Base. During the turn he lost control and crashed into mountains.,30-12-1899 17:40:00,Curtiss C-46-CU,
28,1,21-06-1964,1,,0,Off Palma de Mallorca,Spain,,"Off Palma de Mallorca, Spain",1,TASSA,EC-AQH,Palma de Mallorca - Ibiza,Both engines failed and the plane ditched 1 mile offshore and sank.,30-12-1899 04:00:00,Douglas DC-3,20072
5,5,07-07-1964,5,,0,Martinsville,Virginia,,"Martinsville, Virginia",1,Commercial Air Taxi,N18946,"Martinsville, Virginia - Wilmington, Delaware",Collided with trees when it failed to gain altitude. Pilot error. Gust locks engaged.,30-12-1899 05:15:00,Lockheed 12A,
53,1,08-07-1964,1,,0,Knoxville,Tennessee,,"Knoxville, Tennessee",1,United Air Lines,N1007U,,"While climbing to cruise altitude the plane hit turbulence, downdrafts and updrafts. One passenger's seat belt  failed, killing the passenger.",30-12-1899 12:10:00,Caravelle VIR,092
73,50,23-11-1964,50,800,0,Rome,Italy,,"Rome, Italy",1,Trans World Airlines,N769TW,Rome - Athens,The captain decided to abort the takeoff after the No. 4 engine pressure ratio read zero thrust and the amber warning light indicating thrust reversal of No. 2 engine came on. The speed was below V1. The aircraft continued to travel past the runway limit and the No. 4 engine struck a steam roller. The aircraft burst into flames. Malfunction of the No. 2 engine reverse thruster. The malfunction allowed in the development of forward thrust by No. 2 engine even though all four levers were in the reverse position.,30-12-1899 13:09:00,Boeing B-707-331,17685/123
39,39,09-07-1964,39,823,0,Parrottsville,Tennesee,,"Parrottsville, Tennesee",1,United Air Lines,N7405,Philidelphia - Washington - Knoxville - Huntsville,"The plane crashed 2 miles northeast of Parrottsville after experiencing an uncontrollable fire of unknown origin which started below the passenger floor and eventually involved the passenger cabin. One passenger died after free-falling out of the No. 4 emergency escape window of the plane in an attempt to escape the onboard fire. The ignition source was never determined, but it is thought the plane's battery or something in a passenger's luggage caused the fire.  Testing revealed lethal amounts of CO2 could be discharged into the cockpit instead of the lower baggage compartment. The plane was seen flying erratically and the fire eventually burned through the controls.  It is likely the crew was unconscious by then.",30-12-1899 18:15:00,Vickers Viscount 745D,103
3,3,14-07-1964,3,,0,Reno,Nevada,,"Reno, Nevada",1,Commercial Air Taxi,N5493W,,Crashed into mountains. Pilot deviated from direct course and got lost.,30-12-1899 02:05:00,Piper PA-28,
76,0,16-07-1964,0,,0,Richmond,Virginia,,"Richmond, Virginia",1,Eastern Air Lines,N809D,New York City - Richmond - Jacksonville,"Landed 17 feet short of the runway threshold, tore off the landing gear, slid and caught fire. Pilot misjudged altitude and distance and undershot during landing.",30-12-1899 18:29:00,Douglas DC-7B,44860/616
2,2,31-07-1964,2,,0,Near Nashville,Tennesee,,"Near Nashville, Tennesee",1,Private,N8972M,Batesville - Nashville,"The aircraft crashed during an intense rainstorm into dense woods 6.5 miles south of the Nashville airport,  while on a return trip from Batesville Arkansas. It took searchers 2 days to find the wreckage. Country western singer Jim Reeves, 40, and his manager, Dean Manuel were killed. Reeves was piloting the plane and was 2 minutes from touchdown when he apparently lost visual reference with the ground and experienced spatial disorientation. Pilot error. VFR flight into adverse weather conditions.",30-12-1899 16:52:00,Beechcraft 35-B33 Debonair,
3,3,02-08-1964,3,,0,Willow,Alaska,,"Willow, Alaska",1,Commercial Air Taxi,N6015Z,,"Pilot  was transporting fishing party to Willow. Suffered spatial disorientation, plane stalled on final approach. Pilot not instrument rated.",30-12-1899 12:30:00,Piper PA-18,
2,2,05-08-1964,2,,0,East Falmouth,Massachusetts,,"East Falmouth, Massachusetts",1,Wiggins Airways,N5485Y,,Crashed after an uncontrolled descent. Reasons unknown.,30-12-1899 01:00:00,Piper PA-23,
4,4,22-08-1964,4,,0,Near Tipuani (Bolivia,,,Near Tipuani (Bolivia,1,Servicios Aéreos Cochabamba,CP-680,La Paz - Tipuani,Struck Huayna Hill in poor weather. he flight was conducted in IMC conditions at an altitude unsafe for operations of that nature through the Huayna Pass.,,Douglas C-47A-25-DK,13371
87,87,02-09-1964,87,,0,Island of Sakhalin,Russia,,"Island of Sakhalin, Russia",1,Aeroflot,CCCP-75531,Krasnoyarsk - Yuzhno,"After insisting on and getting a direct approach without completing a standard traffipattern, the airliner crashed into a wooded hillside. The controller lacked the radar with which to monitor the flight. Blame was placed on both the crew of the airliner and the ATC. Lack of radar facilities. Premature descent. Inexperience with the area and poor flight planning.",,Ilyushin IL-18B,180002402
39,39,04-09-1964,39,,0,Pico da Caledonia,Brazil,,"Pico da Caledonia, Brazil",1,VASP,PP-SRR,Vitoria - Rio de Janeiro,Crashed into Mt. Nova. Deviated off course for unknown reasons.,30-12-1899 16:34:00,Vickers Viscount 710C,066
34,28,04-09-1964,28,,0,Near Vaong Nong,Thailand,,"Near Vaong Nong, Thailand",1,Military - Royal Thai Air Force,,Khoke Kathiam - Vaong Nong,Struck a tree and crashed during a nighttime landing attempt.,30-12-1899 19:00:00,Douglas C-47,
2,2,15-09-1964,2,,0,Near Condoto,Colombia,,"Near Condoto, Colombia",1,AVIANCA,HK-319,Condoto - Medellin,"The cargo plane touched down, bounced twice, climbed and crashed. Improperly loaded cargo.",30-12-1899 17:51:00,Douglas C-47A,19680
80,80,02-10-1964,80,,0,Near Trevelez,Granada,Spain,"Near Trevelez, Granada, Spain",1,Union des Transportes Aeriens,F-BHMS,Palma de Mallorca - Port Etienne,"About an hour and a half after departing Palma de Mallorca the airliner crashed into Mt. Alcazaba, 20 miles SSE of Granada. Cause unknown.",30-12-1899 05:45:00,Douglas DC-6B,44062/384
7,1,02-10-1964,1,,0,Addis Ababa,Ethiopia,,"Addis Ababa, Ethiopia",1,Interocean,LX-IOK,"Dublin, Ireland - Addis Ababa",The cargo plane left the runway and crashed while landing.,,Lockheed L-749A-79 Constellation,2562
32,32,09-10-1964,32,,0,Near Sibiu,Romania,,"Near Sibiu, Romania",1,Tarom,YR-ILB,,Crashed into mountains 60 miles west of Sibu.,,Ilyushin IL-14,146000926
2,2,16-10-1964,2,,0,Crown King,Arizona,,"Crown King, Arizona",1,Commercial Air Taxi,N9340F,,Collided with wires while landing. Pilot error.  Failed to see and avoid objects or obstructions.,30-12-1899 09:15:00,Hughes 269B,
33,33,19-10-1964,33,,0,Near Belgrade,Yugoslavia,,"Near Belgrade, Yugoslavia",1,Military - Soviet Air Force,,,"Instructed to land at Belgrade from the west, the aircraft was too low and off course when it hit Avala Hill, 600 ft. below the peak, exploding in flames.",30-12-1899 11:35:00,Ilyushin IL-18,
5,5,03-11-1964,5,,0,Branson,Colorado,,"Branson, Colorado",1,Mustang Aviati,N2849G,,Crashed while en route after pilot continued VFR flight into adverse weather conditions.,30-12-1899 11:10:00,Beechcraft C45G,
29,29,15-11-1964,29,114,0,Las Vegas,Nevada,,"Las Vegas, Nevada",1,Bonanza Airlines,N745L,Phoenix - Las Vegas,"The aircraft crashed  into rising terrain 9.7 miles south southwest of MCarran Field in a snowstorm during an approach to the airport. Captain's misinterpretation of approach charts leading to premature descent below obstructing terrain. After years of legal court battles, a U.S. District Court Judge concluded that the landing charts provided by Jeppesen were the main cause of the accident.",30-12-1899 20:25:00,Fairchild F-27A,0029
10,10,17-11-1964,10,,0,Off Argentia,Newfoundland,Canada,"Off Argentia, Newfoundland, Canada",1,Military - U.S. Navy,151362,,Crashed into the ocean while on maneuvers.,,Lockheed P-3A,185-5075
3,3,27-09-1965,3,,0,Bao Trai,Vietnam,,"Bao Trai, Vietnam",1,Air America,N9574Z,,Collided with houses during an uncontrolled descent.,30-12-1899 15:10:00,Beechcraft C-45H,
14,6,29-11-1964,6,,0,Leopoldville,Zaire,,"Leopoldville, Zaire",1,Air Congo,OO-DEP,,"While taking off, the aircraft struck an empty fuel drum on the runway which tore away the right stabilizer. The plane lifted off the ground but lost control and crashed.",30-12-1899 19:20:00,Douglas DC-4,18384
5,4,04-12-1964,4,,0,Fayetteville,Arkansas,,"Fayetteville, Arkansas",1,Commercial Air Taxi,N5089U,,Collided with trees while attempting to land. Pilot error. Misjudged altitude.,30-12-1899 19:58:00,Cessna 206,
17,17,08-12-1964,17,,0,Tripuani,Bolivia,,"Tripuani, Bolivia",1,Aerolineas Abaroa,CP-639,Tipuani - La Paz,The plane crashed in the Andes Mountains after an explosion blew off the tail of the aircraft. Detonation of a bomb in the tail section of the passenger cabin. A suicide-for-insurance plot was suspected.,30-12-1899 10:48:00,Douglas DC-3,7375
38,38,11-12-1964,38,,0,Near Da Nang,South Vietnam,,"Near Da Nang, South Vietnam",1,Military - Vietnamese Air Force,,,Hit a mountain shortly after taking off exploding in flames.,,Fairchild C-123,
39,1,21-12-1964,1,,0,Near Kaliba,Philippines,,"Near Kaliba, Philippines",1,Fleming Airways System Transport,PI-C569,Kalibo - Manila,"After losing the No. 1 engine the pilot decided to return to Kalibo but could not land do to poor weather. He attempted to divert to Bacolod but could not climb to avoid terrain and crashed into a fish pond while attempting to ditch in the sea.  Failure to maintain safe single engine speed and altitude following failure of the left engine. The precipitation and poor visibility prevailing at the time of the accident over Kalibo and its vicinity and the failure on the part of the maintenance personnel to take action to correct discrepancies logged in the aircraft log-book, individually or collectively contributed to the cause of the accident.",,Douglas DC-3,20396
23,1,24-12-1964,1,,0,Yurimaguas,Peru,,"Yurimaguas, Peru",1,SATCO,OB-XAU,,Cashed on takeoff.,,Douglas DC-3,14541/25986
3,3,24-12-1964,3,,0,Near San Francisco,California,,"Near San Francisco, California",1,Flying Tiger Line,N6915C,San Francisco - New York,"The cargo plane flew off course and struck a mountain in the San Bruno range. The pilot, for undetermined reasons, deviated from departure course into an area of rising terrain where downdraft activity and turbulence affected the climb capability of the aircraft sufficiently to prevent terrain clearance.",30-12-1899 00:31:00,Lockheed L-1049H Super Constellation,4812
5,5,29-12-1964,5,,0,Near Turrialba,Costa Rica,,"Near Turrialba, Costa Rica",1,Lineas Aéreas Sud Americana,CC-CAN,,The cargo plane crashed in mountains while en route.,,Curtiss C-46,
4,4,30-12-1964,4,,0,Detroit,Michigan,,"Detroit, Michigan",1,Zantop Air Transport,N608Z,Cleveland - Detroit - Denver,The cargo plane veered off course and struck trees while attempting to land.  Loss of control during night instrument approach in adverse weather for undetermined reasons.,30-12-1899 02:14:00,Curtis C-46A,30328
3,3,05-01-1965,3,,0,Kla City,Oklohoma,,"Kla City, Oklohoma",1,Alva Aircraft Service - Taxi,N2401G,,Crashed while en-route. Pilot flew into adverse weather conditions. Spatial disorientation.,30-12-1899 00:28:00,Cessna 182B,
2,2,13-01-1965,2,,0,Fairbanks,Alaska,,"Fairbanks, Alaska",1,Fairbanks Air Service - Taxi,N8689X,,Crashed while en-route. VFR flight into adverse weather conditions.,30-12-1899 12:25:00,Cessna 180E,
17,39,16-01-1965,17,,22,Wichita,Kansas,,"Wichita, Kansas",1,Military - U.S. Air Force,57-1442,,"Shortly after taking off, the aircraft made a left bank attempting to return to McConnell Air Force Base and transmitted a distress message. Soon after, the plane crashed to the ground in a nose-down attitude into houses. Remains of a parachute were found in the No. 1 engine which may have led to an asymmetrical thrust condition.",30-12-1899 09:30:00,Boeing KC-135A,17513
10,10,17-01-1965,10,,0,Near Durango,Mexico,,"Near Durango, Mexico",1,Aerovias del Norte,,,Crashed while attempting to land and caught fire.,,Curtiss C-46,
10,10,22-01-1965,10,,0,Mt. Helmos. Greece,,,Mt. Helmos. Greece,1,Military - U.S. Air Force,52-1058,,Struck a mountain.,,Douglas C-124C,43967
4,4,03-02-1965,4,,0,Garoua,Cameroon,,"Garoua, Cameroon",1,Air Cameroon,F-OAFI,,,,Curtiss C-46A,26810
87,87,06-02-1965,87,107,0,San Jose Volcano,Chile,,"San Jose Volcano, Chile",1,LAN,CC-CCG-104,Santiago - Buenos Aires,"After an improper climb, the aircraft flew into a 12,000 ft. mountain in the La Melosas area of the Andes. Crew did not follow flight plan for climbing out of Santiago.",30-12-1899 08:36:00,Douglas DC-6B,45513/1004
84,84,08-02-1965,84,663,0,Off Jones Beach,New York,New York,"Off Jones Beach, New York, New York",1,Eastern Air Lines,N849D,New York City - Richmond VA,"The aircraft crashed shortly after taking off after taking evasive action to avoid  Pan American Flight 212, a  Boeing-707, that was planning to land. The aircraft were separated vertically by approximately 1,000 feet although this was not known to the  controllers involved. The EAL captain had the illusion that a potential collision course existed. As a result of this illusion, a descent was initiated. In this circumstance the DC-7 was placed in an unusual attitude, resulting in spatial disorientation of the crew. Placement of the two aircraft on a near head on course which prompted the EAL plane to make an evasive maneuver from which the pilots could not recover.",30-12-1899 18:26:00,Douglas DC-7B,45455/981
2,2,13-02-1965,2,,0,Miami,Florida,,"Miami, Florida",1,Aerolineas El Salvador,YS-012C,,The cargo plane lost the No. 1 engine on takeoff. The prop could not be feathered and the plane crashed. Fatigue fracture of the crankshaft. Inadequate maintenance and inspection.,30-12-1899 04:20:00,Curtiss C-46A,127
2,2,14-02-1965,2,,0,Mt. Nakanoone,Japan,,"Mt. Nakanoone, Japan",1,Zen Nippon,JA5080,Osaka - Tokyo,Flew into  Mt. Nakanoone.,,Douglas DC-3,4436
2,2,14-02-1965,2,,0,South Beach,New York,,"South Beach, New York",1,Air Taxi,N2151D,,Crashed into the water. Undetermined cause.,30-12-1899 19:30:00,Beechcraft B-35,
7,7,15-10-1973,7,,0,Fort Smith AFB,Oklahoma,,"Fort Smith AFB, Oklahoma",1,Military - U.S. Air Force,62-1845,,Crashed into a mountain.,,Lockheed C-130E Hercules,3808
12,10,08-03-1965,10,43,0,Libmanan,Philippines,,"Libmanan, Philippines",1,Fairways,PI-C948,Manila - Naga,Crashed and burned on a forested mountain slope on Mt. Tangcong Vaca. Misjudgment of clearance with the ground by the crew which resulted in collision with trees.,30-12-1899 10:30:00,Douglas DC-3,4892
25,25,08-03-1965,25,,0,Kuybyshev,Russia,,"Kuybyshev,  Russia",1,Aeroflot,CCCP-45028,,Crashed shortly after taking off.,,Tupolev TU-124,2350803
8,8,17-03-1965,8,102,0,Musquodoboit,Canada,,"Musquodoboit, Canada",1,Eastern Provincial Airways,CF-NAF,Halifax - Sidney NS,Communication was lost with the aircraft soon after takeoff. Failure of corroded skin along the bottom center line of the aircraft which resulted in structural failure of the fuselage and aerial disintegration.,30-12-1899 09:22:00,Handley Page HPR-7 Herald 211,160
28,28,22-03-1965,28,676,0,Sugar Loaf Mountain,Colombia,,"Sugar Loaf Mountain, Colombia",1,AVIANCA,HK-109,Bogota - Bucaramanga,"Crashed into Pan de Azucar Peak, 35 nm from Bucaramanga. Flying under VFR in IFR conditions.",30-12-1899 14:55:00,Douglas C-47,4753
16,16,25-03-1965,16,,0,Off San Juan,Puerto Rico,,"Off San Juan, Puerto Rico",1,Military - Royal Canadian Air Force,20727,Training exercise,The plane was participating in U.S. - Canadian maneuvers.,,Canadair CP-107 MK-2,18
26,22,26-03-1965,22,,0,Lowery Pass,Pakistan,,"Lowery Pass, Pakistan",1,Pakistan International Airlines,AP-AAH,Peshawar - Chitral,Crashed while en route.,,Douglas C-47,12089
