Aboard,Date,Fatalities,Flight #,Ground,Location - Split 1,Location - Split 2,Location - Split 3,Location,Number of Records,Operator,Registration,Route,Summary,Time,Total Death,Type,cn/In,Country,Latitude,Longitude,Name
9,13-05-1977,9,,0,Beiruit,Lebanon,,"Beiruit, Lebanon",1,LOT Polish Airlines,SP-LZA,"Varna, Bulgaria  - Beiruit, Lebanon",The cargo plane struck power lines and trees while attempting to land.,30-12-1899 08:45:00,9,Antonov An-12BP,6344307,LB,33.854721,35.862285,Lebanon
8,24-03-2000,6,,2,Kadirana,Sri Lanka,,"Kadirana, Sri Lanka",1,Sky Cabs,RA-11302,Bangkok - Colombo,"The pilot -in-command made two requests to land because he was low on fuel. While attempting to land, he ran out of fuel and crashed short of the runway. The Cargo plane broke into four parts and crashed into houses.",30-12-1899 18:04:00,8,Antonov AN-12 (freighter),8346004,LK,7.873054,80.771797,Sri Lanka
18,30-01-1987,16,,0,Off Monrovia,Liberia,,"Off Monrovia, Liberia",1,Air Reconnaissance Unit of Liberia,ARU-021,,,,16,Cessna U-27A Caravan I,208-00044,LR,6.428055,-9.429499,Liberia
13,07-04-1992,3,,0,Near Sarra,Libya,,"Near Sarra, Libya",1,Air Bissau,J5-GAE,Khartoum - Tunis,"Could not land due to a sandstorm, ran out of fuel and made a forced landing in the desert. Crash landed in the desert, 62 miles southeast of Sarra. Among the passengers was Yasser Arafat.",,3,Antonov AN-24RV,77310810,LY,26.3351,17.228331,Libya
188,03-08-1975,188,,0,Near Immouzer,Morocco,,"Near Immouzer, Morocco",1,Alia Royal Jordanian Airlines,JY-AEE,Paris - Agadir,"The aircraft was on approach when the right wing tip and No. 4 engine struck a mountain peak at 2,400 feet.  Part of the wing separated and the plane crashed into a ravine. Crew error.",30-12-1899 04:30:00,188,Boeing B-707-321C,18767/376,MA,31.791702,-7.09262,Morocco
12,15-07-1963,6,,0,Farafangana,Madagascar,,"Farafangana, Madagascar",1,Air Madagascar,5R-MAJ,,Crashed while taking off.,,6,Douglas C-47,12813,MG,-18.766947,46.869107,Madagascar
6,24-07-1971,6,,0,Near Bamako,Mali,,"Near Bamako, Mali",1,Air Ivoire,6V-AAP,,Crashed into high terrain during a right turn on takeoff at night.,,6,Douglas DC-3,20505,ML,17.570692,-3.996166,Mali
12,10-06-1997,7,,0,Mandalgobi,Mongolia,,"Mandalgobi, Mongolia",1,MIAT - Mongolian Airlines,JU-1020,Ulan Bator - Mandalgobi,The aircraft crashed while attemping to land. Windshear. Lack of windshear equipment at the airport.,,7,Harbin Yunshuji Y-12 II,6,MN,46.862496,103.846656,Mongolia
5,08-12-1988,5,,0,Bîr Mogreïn,Mauritania,,"Bîr Mogreïn, Mauritania",1,T & G Aviation,N284,Dakar - Agadir,Accidently struck by a surface-to-air missile by the Polisario.,,5,Douglas DC-7CF,45203/776,MR,21.00789,-10.940835,Mauritania
10,12-02-1954,10,,0,Off Gozo,Malta,,"Off Gozo, Malta",1,Military - Royal Air Force,WL794,Military exercise,Crashed at sea while on manuvers.,,10,Avro Shackleton MR-2,,MT,35.937496,14.375416,Malta
3,05-07-2007,3,,6,Culiacan,Mexico,,"Culiacan, Mexico",1,Jett Paqueteria SA,XA-TFL,,"The small cargo jet blew a tire and failed to take off, barreling onto the Culiacán-Navolato highway and crashing into cars, coming to a stop after hitting a building.",30-12-1899 09:30:00,9,North American CT-39A Sabreline,265-48,MX,23.634501,-102.552784,Mexico
10,29-11-1995,10,,0,Off Labuan,Malaysia,,"Off Labuan, Malaysia",1,Sabah Air,9M-AYW,,Crashed at sea disappearing while en route. Debris found near Labuan Island.  Strong winds and thunderstorms were in the area at the time.,30-12-1899 10:15:00,10,Bell 412 (helicopter),33171,MY,4.210484,101.975766,Malaysia
17,10-07-1986,17,,0,Maputo,Mozambique,,"Maputo, Mozambique",1,Military - Zimbabwe Air Force,7312,,Crashed during takeoff.,,17,Douglas C-47A,9492,MZ,-18.665695,35.529562,Mozambique
18,17-09-2006,13,,0,Vandeikya,Nigeria,,"Vandeikya, Nigeria",1,Military - Nigerian Air Force,NAF033,Abuja - Obudu,"The military plane crashed en route less than 20 minutes from the end of a one-hour flight, 18 nm from its destination. Ten top ranking military officials were killed in the crash. The weather was poor at the time of the accident.",30-12-1899 10:15:00,13,Dornier 228,8229,NG,9.081999,8.675277,Nigeria
23,30-10-1986,21,,0,Near Managua,Nicaragua,,"Near Managua, Nicaragua",1,Military - Nicaraguan Air Force,294,,"Either mechanical failure, weather or ground fire from Contra rebels brought the helicopter down.",30-12-1899 17:00:00,21,Mil Mi-17 (helicopter),,NI,12.865416,-85.207229,Nicaragua
24,04-04-1994,3,433,0,Amsterdam,Netherlands,,"Amsterdam, Netherlands",1,KLM Cityhopper,PH-KSH,Amsterdam - Cardiff,"Shortly after taking off, the plane experienced engine problems and returned to the airport. While attempting to land the aircraft rolled to the right, pitched up, stalled and cashed. Inadequate use of the flight controls during an asymmetrigo-around resulting in loss of control. Contributing factors were insufficient understanding of the flightcrew of the SAAB 340B engine oil system, lack of awareness of the consequences of an aircraft configuration with one engine in flight idle and poor crew resource management.",30-12-1899 14:46:00,3,Saab 340B,195,NL,52.132633,5.291266,Netherlands
20,27-10-1993,7,,0,Near Namsos,Norway,,"Near Namsos, Norway",1,Wideroe's Flyveselksap,LN-BNM,Trondheim - Namsos,"The aircraft descended below minima during a localizer approach, without a glideslope, struck the top of trees and crashed into a swamp in heavy rain showers and strong winds.",30-12-1899 19:30:00,7,de Havilland Canada DHC-6 Twin Otter 300,408,NO,60.472024,8.468946,Norway
3,25-05-2004,3,117,0,Near Lukla,Nepal,,"Near Lukla, Nepal",1,Yeti Airlines,9N-AFD,Katmandou - Lukla,"While on approach to Lukla, the cargo plane crashed into Lamjura Hill in heavy cloud cover. Hazardous behavior and attitudes of the captain such as over-confidence, being care-free, and non-compliance of the regulations caused the accident.",30-12-1899 13:56:00,3,de Havilland DHC-6 Twin Otter 300,651,NP,28.394857,84.124008,Nepal
10,06-06-2003,8,,0,Christchurch,New Zealand,,"Christchurch, New Zealand",1,Charter - Air Adventures New Zealand Ltd,ZK-NCA,Palmerston North - Christchurch,"The aircraft crashed short of the runway in fog while on approach to Christchurch Airport. The plane crashed two kilometers from the airport, hitting a farm hedge and sliding across a paddock before smashing into a row of trees.",30-12-1899 19:15:00,8,Piper PA-31-350 Navajo Chieftain,31-7405203,NZ,-40.900557,174.885971,New Zealand
10,17-03-2000,10,,0,Near Kuna Yala,Panama,,"Near Kuna Yala, Panama",1,Aeroperlas,HP-1267APP,Panama City - Puerto Obaldia,"Crashed into a jungle mountainside 15 miles short of its destination while en route. The wreckage was found at the 2,500 ft. level of a 2,790 ft. mountain.  Weather was poor at the time.",30-12-1899 09:30:00,10,de Havilland Canada DHC-6 Twin Otter 300,624,PA,8.537981,-80.782127,Panama
13,28-04-2005,13,,0,Pisco,Peru,,"Pisco, Peru",1,Military - Fuerza Del Peru,EP-830,Training,"While taking off on a training flight, the twin engine aircraft stalled and crashed near a petroleum facility near the airport.",30-12-1899 11:28:00,13,Let 410UVP,790304,PE,-9.189967,-75.015152,Peru
4,29-04-2000,4,,0,Bapi,Papua New Guinea,,"Bapi, Papua New Guinea",1,North Coast Aviation,P2-ISA,,,,4,Britten-Norman BN-2A-20 Islander,703,PG,-6.314993,143.95555,Papua New Guinea
10,22-02-2002,10,,0,Off Dumaguete,Philippines,,"Off Dumaguete, Philippines",1,Military - U.S. Army,92-0471,Basilan - Mactan Island,"A helicopter ferrying U.S. troops in a counter-terrorism exercise, crashed into the sea, 30 minutes before its scheduled arrival at Mactan Island. The helicopter was flying in tandem with another U.S. Army Chinook when it crashed.",30-12-1899 02:30:00,10,MH-47 Chinook helicopter,M-3719,PH,12.879721,121.774017,Philippines
17,20-02-2003,17,,0,Near Kohat,Pakistan,,"Near Kohat, Pakistan",1,Military - Pakistan Air Force,10254,Islamabad - Kohat,"The plane crashed into a mountainside in a remote region near the town of Kohat, about 250 kilometers northwest of Islamabad. Among those killed was Air Force chief Mushaf Ali Mir.  Pilot error. Pilot's premature descent below minima which resulted in the aircraft hitting a cloud covered ridge at 3,000 feet above sea level.",30-12-1899 08:52:00,17,Fokker F-27 Friendship 200,10254,PK,30.375321,69.345116,Pakistan
29,02-11-1988,1,703,0,Near Rzeszow,Poland,,"Near Rzeszow, Poland",1,LOT Polish Airlines,SP-LTD,Warszawa - Rzeszow,"The plane attempted to make an emergency landing due to engine failure, struck a ditch and caught fire.",,1,Antonov AN-24B,67302209,PL,51.919438,19.145136,Poland
10,07-08-2002,10,,0,Caguas,Puerto Rico,,"Caguas, Puerto Rico",1,Military - U.S. Air Force,90-0161,Roosevelt Roads NS - Borinquen NGB,"The military plane crashed into a mountain top, approximately 10 miles south of San Juan, Puerto Rico, in rough terrain, while performing low-level training exercises. Witnesses reported the aircraft was flying low and hit some trees before crashing into a ravine, bursting into flames and disintegrating. There was rain and fog at the time of the accident.",30-12-1899 22:00:00,10,Lockheed MC-130H Hercules,5265,PR,18.220833,-66.590149,Puerto Rico
3,05-03-1973,3,,0,Off Funchal,Portugal,,"Off Funchal, Portugal",1,Aviaco,EC-BID,,Crashed into the ocean while on approach to land.,,3,Sud Aviation SE-210 Caravelle,228,PT,39.399872,-8.224454,Portugal
2,20-03-1966,2,,0,Asuncion,Paraguay,,"Asuncion, Paraguay",1,Servicios Americanos,N1245N,,The cargo plane crashed.,,2,Curtiss C-46F,22473,PY,-23.442503,-58.443832,Paraguay
9,14-08-1991,9,,0,Near Uricani,Romania,,"Near Uricani, Romania",1,Tarom,YR-IMH,Bucharest - Timisoara,The cargo plane crashed in a rainstorm.,,9,Ilyushin IL-18V,185008301,RO,45.943161,24.96676,Romania
9,29-07-2007,9,9655,0,Moscow,Russia,,"Moscow, Russia",1,Atran,RA-93912,Sightseeing,"The cargo plane, carrying 9 tons of cargo, crashed 4 km from the runway as it was attempting to take off from Domodedovo airport. The aircraft slammed into a field shattering debris over a wide area.",30-12-1899 04:22:00,9,Antonov AN-12BP,4341709,RU,61.52401,105.318756,Russia
20,02-10-1999,12,,0,Dhahran,Saudi Arabia,,"Dhahran, Saudi Arabia",1,Aramco Associated Company,N704H,,"The helicopter, crashed into the water shortly after liftoff from the 88 foot tall helideck located 35 miles offshore. The landing was soft and gentle but the helicopter rolled over inverted in the water.",30-12-1899 19:15:00,12,Bell 214ST helicopter,28108,SA,23.885942,45.079162,Saudi Arabia
214,10-06-2008,32,548,0,Khartoum,Sudan,,"Khartoum, Sudan",1,Sudan Airways,ST-ATN,"Aman, Jordan - Damascus, Syria - Khartoum, Sudan","While landing in poor weather, the plane skidded off the runway, hit navigation poles and burst into flames. The plane had flown from Amman via Damascus but been turned back once from Khartoum and forced to land in Port Sudan, on the Red Sea, because of bad weather, before being allowed to return to Khartoum.",30-12-1899 20:45:00,32,Airbus A-310-324,548,SD,12.862807,30.217636,Sudan
16,08-05-1989,16,,0,Oskarshamn,Sweden,,"Oskarshamn, Sweden",1,Holmstoem Air,SE-IZO,Stockholm - Oskarshamn,"While on approach the plane pitched up, went into a steep dive and crashed short of the runway. Aircraft improperly loaded causing a shift in the center of gravity.",30-12-1899 09:40:00,16,Beechcraft 99,U048,SE,60.128161,18.643501,Sweden
3,09-12-1993,3,,0,Off Dakar,Senegal,,"Off Dakar, Senegal",1,Air Senegal / Gambia Airways,6V-ADE / C5-GAA,,"Midair collision. The Twin Otter, which was descending inbound to Dakar, collided with a Gambia Airways aircraft which had just taken off. The Twin Otter crashed into the sea. Failure to maintain assigned altitude. Three killed aboard the Twin Otter. The YS-11 was able to land safely.",,3,DHC-6 Twin Otter 300 / NAMC YS-11,393 / 2030,SN,14.497401,-14.452362,Senegal
13,09-10-1992,1,,0,Mogadiscio,Somalia,,"Mogadiscio, Somalia",1,Kiev Production Association,CCCP-48088,,The cargo plane veered off the runway and crashed while attempting to land at night with just the headlights of several trucks.,,1,Antonov 32,2905,SO,5.152149,46.199616,Somalia
19,06-02-1967,1,,0,Aleppo,Syria,,"Aleppo, Syria",1,Syrian Arab Airlines,YK-ACB,,Crashed into building while landing.,,1,Douglas DC-3,33559,SY,34.802075,38.996815,Syria
130,16-09-2007,90,269,0,Phuket,Thailand,,"Phuket, Thailand",1,One-Two-Go Airlines,HS-OMG,Bangkok - Phuket,"While landing in heavy rain and strong cross winds, the aircraft skidded off the runway, struck an earth embankment and caught fire. The pilot attempted to land, despite 15 warning alarms and his copilot's calls to abort the attempt. Also, the plane was traveling faster and descending more sharply than normal.",30-12-1899 15:35:00,90,McDonnell Douglas MD-82,49183/1129,TH,15.870032,100.992541,Thailand
80,08-01-2003,75,634,0,Diyarbakir,Turkey,,"Diyarbakir, Turkey",1,Turkish Airlines (THY),TC-THG,Istanbul - Ankara - Diyarbakir,The aircraft crashed and broke-up 130 feet short of the runway threshold while attempting to land in heavy fog.  Visibility was less than 200 feet.,30-12-1899 20:28:00,75,BAe Avro RJ-100,E-3241,TR,38.963745,35.243322,Turkey
179,31-10-2000,83,6,0,Taipei,Taiwan,,"Taipei, Taiwan",1,Singapore Airlines,9V-SPK,Taipei - Los Angeles,"Weather conditions at the time were extremely poor due to typhoon Xiang Sane. A NOTAM issued on Aug 31, 2000 indicated that Runway 05R was closed due to construction between Sep 13 and Nov 22. After reaching the end of Taxiway NP, the plane turned onto Taxiway N1 and then made a 180-degree turn onto Runway 05R and began its takeoff roll. Approximately 3.5 seconds after reaching V1, the aircraft hit construction equipment on the runway, crashed back to the ground, broke up and burst into flames. The pilot attempted to take off from a closed runway. The following factors contributed to the accident. Of three lights used to guide the aircraft onto the correct runway, one was not working and another dim. The airport lacked 'guard lights' used to help pilots navigate from the taxiway to the correct runway during times of poor visibility. International regulations require that a large white X be placed on the tarmaat the entrance to a closed runway, but there was none at the entrance of runway 5R. Whether there should have been, in this case, however, is itself a contentious matter as the runway remained open for taxiing.",30-12-1899 23:17:00,83,Boeing B-747-412,28023/1099,TW,23.69781,120.960515,Taiwan
6,16-12-2006,3,,0,Mbeya,Tanzania,,"Mbeya, Tanzania",1,Air Charter - Tanzanian Air Services,5H-TZA ,Mbeya - Dar es Salaam,"The pilot chose to initiate his take off from about 200 metres beyond the threshold of Runway 31 because he was not certain of the condition of the runway behind that position. He chose to apply full power on brakes and leaned the mixtures before initiating the take off roll. As the aircraft rolled for take off the pilot reported to have felt acceleration/deceleration effects caused by undulations and wetness of the runway. The target rotation speed was 105kt. However, the pilot had to rotate at around 96kt when it became imminent that the remaining runway length was not enough to stop the aircraft. Shortly after take off the pilot felt a complete lack of acceleration and had to lower the nose in order to increase airspeed. As he did so, the aircraft collided with a roof of a house located about 500 metres beyond the threshold of Runway 13. The aircraft subsequently collided with 3 more houses and an electripole with live cables and broke up.",30-12-1899 03:54:00,3,Cessna 310R,310R-1333,TZ,-6.369028,34.888822,Tanzania
2,27-07-2002,0,,85,Lviv,Ukraine,,"Lviv, Ukraine",1,Military - Ukraine Air Force,42,,The Su-76 was performing aerobatics when it crashed into crowd of spectators at an air show at Skniliv Airport in the Ukraine. The aircraft had just performed a steep turn when it appeared to tumble and enter a steep dive from which it failed to recover. The two pilots parachuted to safety.  Pilot error. The pilots ignored their flight plans and performed untried and complicated maneuvers which led to a loss of control. Both received a jail sentence of 14 years.,30-12-1899 12:45:00,85,Sukhoi Su-27,,UA,48.379433,31.16558,Ukraine
6,08-01-2006,6,,0,Bukalaza,Uganda,,"Bukalaza, Uganda",1,Service Air,9Q-CIH,Entebbe - Kinshasa,The cargo plane carrying humanitarian relief items crashed shortly after takeoff. The cause was determined to be engine failure and an overweight and improperly balanced plane.,30-12-1899 13:00:00,6,Antonov 12,4341803,UG,1.373333,32.290275,Uganda
15,20-06-1977,5,,0,Salto-Nueva Hesperides,Uruguay,,"Salto-Nueva Hesperides, Uruguay",1,Fuerza Aérea Uruguaya,CX-BJE,Carrasco - Salto-Nueva Hesperides,Crashed into trees while making an ILS approach.,,5,Embraer 110C Bandeirante,110083,UY,-32.522779,-55.765835,Uruguay
63,23-03-1991,34,,0,Navoi,Uzbekistan,,"Navoi,  Uzbekistan",1,Uzbek Civil Aviation Administration,CCCP-46472,Trashkent - Navoi,The aircraft overran the runway and crashed into concrete blocks.,30-12-1899 11:37:00,34,Antonov AN-24B,27307910,UZ,41.377491,64.585262,Uzbekistan
46,21-02-2008,46,518,0,Merida,Venezuela,,"Merida, Venezuela",1,Santa Barbara Airlines,YV-1449,Merida - Caracas,"Struck a mountain at 13,500 feet and disintegrated shortly after departing Merida.",30-12-1899 17:00:00,46,ATR-42-300,028,VE,6.42375,-66.58973,Venezuela
20,28-08-1976,1,,0,Ho Chi Minh City,Vietnam,,"Ho Chi Minh City, Vietnam",1,Air France,F-BSGZ,Ho Chi Minh City - Bangkok,A hijacker set off two grenades and was killed.,,1,Sud Aviation SE 210 Caravelle III,83,VN,14.058324,108.277199,Vietnam
49,09-05-1982,47,,0,Off Aden,Yemen,,"Off Aden, Yemen",1,Alyemda,7O-ACK,,Crashed into the ocean during an approach 2 km short of the runway.,,47,de Havilland Canada DHC-7-103,015,YE,15.552727,48.516388,Yemen
2,24-08-1998,1,,0,Pretoria,South Africa,,"Pretoria, South Africa",1,Speed Service Couriers,ZS-NKK,Pretoria - Durban,"The cargo plane took off in a steep angle, rolled to the left and crashed and burned. The taking off with the elevator trim set to the full nose-up position. This resulted in the nose of the aircraft pitching up after rotation, causing the pilot to lose control of the aircraft.",30-12-1899 16:46:00,1,DC-3-65TP,13143,ZA,-30.559482,22.937506,South Africa
6,14-05-1977,6,,0,Near Lusaka,Zambia,,"Near Lusaka, Zambia",1,IAS Cargo,G-BEBP,"Nairobi, Kenya  - Luskaka, Zambia","The elevator assembly separated in mid-flight. The plane nose dived and crashed. The in-flight separation of the right hand horizontal stabilizer and elevator as a result of a combination of metal fatigue and inadequate failsafe design in the rear spar structure. Shortcomings in design assessment, certification and inspection procedures were contributory factors.",30-12-1899 09:33:00,6,Boeing 707-321C,18579/332,ZM,-13.133897,27.849332,Zambia
86,16-12-1997,85,3183,0,Sharjah,United Arab Emirates,,"Sharjah, United Arab Emirates",1,Tajikistan Airlines,EY-85281,Dushanbe - Sharjah,The aircraft crashed and burned while making an attempt to land. A number of errors by the crew resulted in the acccident. Not maintaining the height indicated during the last contact with the ATC. Not following instructions from the ATC. Crew fatigue and turbulence in the area contributed to the accident.,30-12-1899 18:35:00,85,Tupolev TU-154,78A-281,AE,23.424076,53.847818,United Arab Emirates
45,19-03-1998,45,,0,Near Charasyab,Afghanistan,,"Near Charasyab, Afghanistan",1,Ariana Afghan Airlines,YA-FAZ,Dubai - Kandahar - Kabul,"The plane was descending for a landing at Kabul on visual when it struck 3,000 ft. Sharhi Baranta Mountain, 300 feet below the summit in dense fog and rain.",30-12-1899 14:00:00,45,Boeing B-727-228,22288/1712,AF,33.93911,67.709953,Afghanistan
40,27-01-2002,5,,0,Near Luena,Angola,,"Near Luena, Angola",1,Military - Angolan  Air Force,T-304,,Crashed 2km short of the runway  from the Luena Airport while attempting to land in heavy rain.,,5,Antonov AN-12,A12244,AO,-11.202692,17.873887,Angola
10,28-04-2001,10,,0,Near Roque Perez,Argentina,,"Near Roque Perez, Argentina",1,Private - Techint  group,LV-WSC,San Fernando - El Calafate,"The aircraft crashed into rugged farm land, 120 miles south of Buenos Aires. Possible icing.  Agostino Rocca, president of the Buenos Aires-based Techint  construction group and German Sopena, managing editor of the Argentine newspaper La Nacion, were among those killed.",30-12-1899 05:15:00,10,Cessna  208B Grand Caravan,208B-0580,AR,-38.416097,-63.616672,Argentina
8,31-05-2000,8,904,0,Off Whyalla,Australia,,"Off Whyalla, Australia",1,Whyalla Airlines,VH-MZK,Adelaide - Whyalla,"En route and descending at Whyalla,  at 6,000 ft., the pilot transmitted a MAYDAY, reporting that both engines of the aircraft had failed, that there were eight persons on board and that he was going to have to ditch the aircraft, but was trying to reach Whyalla. Three minutes later he reported his position 15 nm off the coast of Whyalla. No further transmissions were heard from the plane and the wreckage was found in Spencer Gulf the next morning. Malfunction of both engines due to the failure of components of the engines. A fractured connecting rod in the left engine led the pilot to increase the power setting in the right engine, leading to the No. 6 piston being holed in the right engine.",30-12-1899 19:05:00,8,Piper PA-31-350 Navajo,31-8152180,AU,-25.274398,133.775136,Australia
6,30-11-1995,2,,0,Baku,Azerbaijan,,"Baku, Azerbaijan",1,Azerbaijan Airlines,4K-401,,While attempting to land the cargo plane struck light posts and crashed into a field.,30-12-1899 19:10:00,2,Boeing 707-323C,19584/663,AZ,40.143105,47.576927,Azerbaijan
72,15-02-1961,72,548,1,Near Brussels,Belgium,,"Near Brussels, Belgium",1,Sabena,OO-SJB,New York City - Brussels,"The aircraft was about to touchdown on the runway when engine power was increased and the aircraft climbed to 1,500 ft. The aircraft completed 3 left-hand circles. Its attitude increased until it nosed down and crashed. The entire eighteen member U.S. Figure Skating team killed.  Failure of the aircraft's flying controls, possibly jamming of the outboard ailerons or unwanted extension of the spoilers.",30-12-1899 10:05:00,73,Boeing B-707-320,17624/92,BE,50.503887,4.469936,Belgium
48,22-11-1975,3,,0,Sofia,Bulgaria,,"Sofia, Bulgaria",1,Balkan Bulgarian Airlines,LZ-ANA,Sofia - Varna,Crashed shortly after takeoff.,,3,Antonov AN-24B,67302707,BG,42.733883,25.48583,Bulgaria
5,02-03-1992,5,,0,Beni,Bolivia,,"Beni, Bolivia",1,Frigorifico Santa Rita,CP-754,Estencia el Trompillo - La Paz,"The cargo plane failed to gain altitude, cleared a fence and crashed to the ground. The wet runway contributed to the failure lift off in a timely manner.",30-12-1899 16:05:00,5,Curtiss C-46T,22570,BO,-16.290154,-63.588653,Bolivia
187,17-07-2007,187,3054,12,Sao Paulo,Brazil,,"Sao Paulo, Brazil",1,TAM (Brazil),PR-MBK,Porto Alegre - Sao Paulo,"The jet airliner crashed while attempting to land in heavy rain at Congonhas airport. The plane skidded off the end of the runway across a major roadway and struck a gas station and building, bursting into flames. One hundred seventy passengers and a crew of six were aboard.",30-12-1899 18:52:00,199,Airbus A-320-233,789,BR,-14.235004,-51.92528,Brazil
9,13-09-1995,5,,0,Marsh Harbour,Bahamas,,"Marsh Harbour, Bahamas",1,Bimini Air Charter Inc.,N69303,Bimini - Mores Cay,"The intended destination was Mores Cay, but one of the survivors stated the pilot could not find the island and diverted to Marsh Harbour.",30-12-1899 20:30:00,5,Cessna 402B,402B-0423,BS,25.03428,-77.39628,Bahamas
3,11-10-2001,2,,0,Shamattawa,Canada,,"Shamattawa, Canada",1,Perimeter Airlines,C-GYPA,Gods Narrows - Shamattawa,"The air ambulance was flown into terrain during an overshoot because the required climb angle was not set and maintained to ensure a positive rate of climb. During the go-around, conditions were present for somatograviillusion, which most likely led to the captain losing situational awareness.",30-12-1899 23:35:00,2,Swearingen SA.226TC Metro I,TC-250,CA,56.130366,-106.346771,Canada
46,14-11-1990,46,404,0,Stadelberg,Switzerland,,"Stadelberg, Switzerland",1,Alitalia,I-ATJA,Milano - Zürich,"The aircraft continued to descend after intercepting the glide slope and hit high ground 6 miles from the airport. False indication of VHF NAV on unit No.1 in the aircraft. Possible misread altimeter by the pilot-in-command. Lack of GPWS warning in the cockpit. Crew was not aware of the possibility of incorrect indications in the NAV equipment in use. Non-compliance with basiprocedural instructions during the approach. ATC  did not observe the leaving of the cleared altitude of 4,000 ft.",30-12-1899 19:11:00,46,McDonnell Douglas DC-9-32,47641/746,CH,46.818188,8.227512,Switzerland
14,06-08-2000,14,,0,Puerto Montt,Chile,,"Puerto Montt, Chile",1,Military - Fuerza Aérea de Chile,230,Santiago - Coihaique,The aircraft crashed into a volcano after the pilot reported he was diverting to Puerto Montt because of ice formation on the wings. The wreckage was found 15 days later.,30-12-1899 15:55:00,14,Casa 212-AB10 Aviocar,AB10-454,CL,-35.675147,-71.542969,Chile
47,28-06-1989,3,,0,Yaounde,Cameroon,,"Yaounde,  Cameroon",1,Cameroon Airlines,TJ-CCF,Douala - Yaounde,"The plane landed short of the runway on the third landing attempt, overran the runway and collided with an embankment.",30-12-1899 21:19:00,3,Hawker Siddeley HS-748-435 Srs. 2,1804,CM,7.369722,12.354722,Cameroon
112,07-05-2002,112,6136,0,Off Dalian,China,,"Off Dalian, China",1,China Northern Airlines,B-2138,Beijing - Dalian,"The MD-82 crashed into the Dalian Bay, 12 miles east of Dalian airport. The pilot reported a fire aboard the aircraft and the cabin lights were out prior to the plane impacting the water.  The accident was caused by an act of sabotage by a passenger who lit a fire in the cabin. He had bought multiple insurance policies before boarding the flight.",30-12-1899 21:32:00,112,McDonnell Douglas MD-82,49522/17023,CN,35.86166,104.195397,China
20,13-01-2005,20,,0,Manguipayan,Colombia,,"Manguipayan, Colombia",1,Military - Colombian government,,,The helicopter was on a counter-narcotics mission when it crashed in heavy fog.,30-12-1899 05:20:00,20,Black Hawk helicopter,,CO,4.570868,-74.297333,Colombia
23,15-01-1990,23,32,0,Pico Blanco,Costa Rica,,"Pico Blanco, Costa Rica",1,SANSA,TI-SAB,San Jose - Palmar Sur,"Crashed about 4,500 feet up on 7,250 ft. Pico Blanco Mountain, 10 miles southwest of San Jose, five minutes after taking off in a driving rainstorm. Continued VFR flight into IFR condtions.  The aircraft was not  equipped with a GWPS.",30-12-1899 08:30:00,23,CASA 212 Aviocar 200,163,CR,9.748917,-83.753428,Costa Rica
126,03-09-1989,126,,45,Near Havana,Cuba,,"Near Havana, Cuba",1,Cubana de Aviacion,CU-T1281,"Havana - Köln, Bonn",The aircraft crashed into navigational towers and residential houses shortly after takeoff in heavy rain and high winds. Decision to fly after an abrupt deterioration in weather conditions.,30-12-1899 19:00:00,171,Ilyushin IL-62M,3850453,CU,21.521757,-77.781167,Cuba
3,08-02-2001,3,,0,Nurnberg,Germany,,"Nurnberg, Germany",1,E.A.S. Aeroservizi,I-MOCO,"Nurnberg - Rome, Italy","The plane experienced asymetrical thrust during takeoff. Rose 200-300 ft., stalled and crashed into trees. An in-flight failure of the left power plant appromately 3 minutes after take-off and inadequate conduct of the crew  so that in short final the airplane stalled and crashed from low height. The failure of the left engine was caused by intergranular fractures of retention posts on the high pressure turbine disk. As a result of incorrect service life recordings the maximum number of cycles had considerably been exceeded.",30-12-1899 15:40:00,3,Learjet 35A,35-445,DE,51.165691,10.451526,Germany
34,26-09-1970,8,,0,Near Vagar,Denmark,,"Near Vagar, Denmark",1,Icelandair,TF-FIL,,"Crashed into mountains on Mueggenaes Island at  an altitudwe of 1,500 ft., 2 miles off course, while descending, after holding for 20 minutes.",,8,Fokker F-27 Friendship 300,10356,DK,56.26392,9.501785,Denmark
102,15-02-1970,102,,0,Off Santo Domingo,Dominican Republic,,"Off Santo Domingo, Dominican Republic",1,Compania Dominicana de Aviacion,HI-177,Santo Domingo - San Juan,"Two minutes after taking off , the crew reported losing an engine and turned back towards the airport. The plane then descended rapidly and crashed into the sea. Featherweight boxer Carlos Cruz and members of  the Puerto Rican women's national volleyball team killed.",30-12-1899 18:30:00,102,McDonnell Douglas DC-9-32,47500/546,DO,18.735693,-70.162651,Dominican Republic
239,26-12-1994,3,8969,0,Algiers Airport,Algeria,,"Algiers Airport, Algeria",1,Air France,F-GBEC,Alger - Paris,The aircraft was hijacked by terrorists. Three passengers and four hijackers were killed when the plane was stormed.,30-12-1899 17:00:00,3,Airbus A300B2-1C,104,DZ,28.033886,1.659626,Algeria
